AEBP2
ASXL1
ATM
ATRX
BCOR
BCORL1
BRAF
BRCC3
CBL
CDAN1
CDH23
CEBPA
CSMD1
CTCF
CUX1
DAXX
DDX41
DIDO1
DIS3
DKC1
DNMT3A
EED
ELANE
ETNK1
ETV6
EZH1
EZH2
FANCA
FANCC
FANCD1
FANCD2
FANCE
FANCG
FBXW7
FLT3
GATA1
GATA2
GCSFR
GNAS
GPRC5A
IDH1
IDH2
IRF1
JAK1
JAK2
JAK3
JARID2
KDM6A
KIT
KRAS
LAMB4
LNK
LUC7L2
MAP3K4
MPL
NCOR2
NF1
NHP2
NOP10
NPM1
NRAS
PEG3
PHF6
PIGA
POT1
PRF1
PRPF8
PTPN11
RAD21
RAP1
RB
RBBP4
RBBP7
RIT1
RPL11
RPL35A
RPL5
RPS10
RPS19
RPS26
RTEL1
RUNX1
SBDS
SETBP1
SF3B1
SMC1A
SMC3
SRP72
SRSF2
STAG2
STAT3
SUZ12
TERC
TERF1
TERF2
TERT
TET2
TINF2
TP53
TPP1
U2AF1
U2AF2
UMODL1
WT1
ZRSR2
ZSWIM4
